FIPS State Code	Name	Number of 2010 Census Blocks	Number of 2000 Census Blocks	Numerical Change, 2000-2010	Percent Change, 2000-2010
  	United States 	11,078,297 	8,205,582 	2,872,715 	35.0
01 	Alabama 	252,266 	175,220 	77,046 	44.0
02 	Alaska 	45,292 	21,874 	23,418 	107.1
04 	Arizona 	241,666 	158,294 	83,372 	52.7
05 	Arkansas 	186,211 	141,178 	45,033 	31.9
06 	California 	710,145 	533,163 	176,982 	33.2
08 	Colorado 	201,062 	141,040 	60,022 	42.6
09 	Connecticut 	67,578 	53,835 	13,743 	25.5
10 	Delaware 	24,115 	17,483 	6,632 	37.9
11 	District of Columbia 	6,507 	5,674 	833 	14.7
12 	Florida 	484,481 	362,499 	121,982 	33.7
13 	Georgia 	291,086 	214,576 	76,510 	35.7
15 	Hawaii 	25,016 	18,990 	6,026 	31.7
16 	Idaho 	149,842 	88,452 	61,390 	69.4
17 	Illinois 	451,554 	366,137 	85,417 	23.3
18 	Indiana 	267,071 	201,321 	65,750 	32.7
19 	Iowa 	216,007 	168,075 	47,932 	28.5
20 	Kansas 	238,600 	173,107 	65,493 	37.8
21 	Kentucky 	161,672 	122,141 	39,531 	32.4
22 	Louisiana 	204,447 	139,867 	64,580 	46.2
23 	Maine 	69,518 	56,893 	12,625 	22.2
24 	Maryland 	145,247 	79,128 	66,119 	83.6
25 	Massachusetts 	157,508 	109,997 	47,511 	43.2
26 	Michigan 	329,885 	258,925 	70,960 	27.4
27 	Minnesota 	259,777 	200,222 	59,555 	29.7
28 	Mississippi 	171,778 	136,150 	35,628 	26.2
29 	Missouri 	343,565 	241,532 	102,033 	42.2
30 	Montana 	132,288 	99,018 	33,270 	33.6
31 	Nebraska 	193,352 	133,692 	59,660 	44.6
32 	Nevada 	84,538 	60,831 	23,707 	39.0
33 	New Hampshire 	48,837 	34,728 	14,109 	40.6
34 	New Jersey 	169,588 	141,342 	28,246 	20.0
35 	New Mexico 	168,609 	137,055 	31,554 	23.0
36 	New York 	350,169 	298,506 	51,663 	17.3
37 	North Carolina 	288,987 	232,403 	56,584 	24.3
38 	North Dakota 	133,769 	84,351 	49,418 	58.6
39 	Ohio 	365,344 	277,807 	87,537 	31.5
40 	Oklahoma 	269,118 	176,064 	93,054 	52.9
41 	Oregon 	196,621 	156,232 	40,389 	25.9
42 	Pennsylvania 	421,545 	322,424 	99,121 	30.7
44 	Rhode Island 	25,181 	21,023 	4,158 	19.8
45 	South Carolina 	181,908 	143,919 	37,989 	26.4
46 	South Dakota 	88,360 	77,951 	10,409 	13.4
47 	Tennessee 	240,116 	182,203 	57,913 	31.8
48 	Texas 	914,231 	675,062 	239,169 	35.4
49 	Utah 	115,406 	74,704 	40,702 	54.5
50 	Vermont 	32,580 	24,824 	7,756 	31.2
51 	Virginia 	285,762 	145,399 	140,363 	96.5
53 	Washington 	195,574 	170,871 	24,703 	14.5
54 	West Virginia 	135,218 	81,788 	53,430 	65.3
55 	Wisconsin 	253,096 	200,348 	52,748 	26.3
56 	Wyoming 	86,204 	67,264 	18,940 	28.2
  	  	  	  	  	 
72 	Puerto Rico 	77,189 	56,781 	20,408 	35.9
